Invoice_ID,Branch,Age _Group,Gender,City,Category,Invoice_Amount,Date,Payment_Method,Customer_Rating
1,WALM003,55+,Female,"Boise, ID",Health and beauty,522.83,6/14/21,Ewallet,9.1
2,WALM048,45-54,Female,"Nashville, TN",Electronic accessories,76.4,3/20/20,Cash,9.6
3,WALM067,18-24,Non-Binary,"New York City, NY",Home and lifestyle,324.31,9/30/19,Credit card,7.4
4,WALM064,45-54,Non-Binary,"Baltimore, MD",Health and beauty,465.76,1/24/20,Ewallet,8.4
5,WALM013,35-44,Male,"Chicago, IL",Sports and travel,604.17,7/14/19,Ewallet,5.3
6,WALM026,18-24,Non-Binary,"Birmingham, AL",Electronic accessories,597.73,7/4/20,Ewallet,4.1
7,WALM088,18-24,Prefer Not to Say,"Providence, RI",Electronic accessories,413.04,6/12/21,Ewallet,5.8
8,WALM100,55+,Non-Binary,"Baltimore, MD",Home and lifestyle,735.6,3/7/23,Ewallet,8
9,WALM066,55+,Female,"Little Rock, AR",Health and beauty,72.52,1/9/23,Credit card,7.2
10,WALM065,55+,Female,"Louisville, KY",Food and beverages,164.52,4/11/23,Credit card,5.9
11,WALM013,25-34,Female,"Honolulu, HI",Fashion accessories,57.92,5/23/21,Ewallet,4.5
12,WALM035,55+,Non-Binary,"Detroit, MI",Electronic accessories,102.04,11/1/23,Cash,6.8
13,WALM027,25-34,Prefer Not to Say,"Charleston, SC",Electronic accessories,234.75,10/2/22,Ewallet,7.1
14,WALM035,35-44,Male,"Anchorage, AK",Food and beverages,431.9,9/27/22,Ewallet,8.2
15,WALM031,35-44,Male,"Honolulu, HI",Health and beauty,713.8,4/15/19,Cash,5.7
16,WALM008,25-34,Non-Binary,"Indianapolis, IN",Sports and travel,562.32,10/18/22,Cash,4.5
17,WALM029,18-24,Male,"Seattle, WA",Health and beauty,482.51,3/23/23,Credit card,4.6
18,WALM061,18-24,Non-Binary,"Virginia Beach, VA",Sports and travel,435.66,3/24/22,Credit card,6.9
19,WALM053,18-24,Prefer Not to Say,"Birmingham, AL",Food and beverages,164.01,7/24/19,Credit card,8.6
20,WALM013,35-44,Female,"Baltimore, MD",Home and lifestyle,80.6,11/22/21,Ewallet,4.4
